target_id,intended_target_gene_id,intended_target_entrez_gene_id,intended_target_official_full_name,intended_target_gene_name,intended_target_official_symbol,intended_target_gene_symbol,intended_target_description,intended_target_uniprot_accession_number,intended_target_organism_id,intended_target_track_status,technological_target_gene_id,technological_target_entrez_gene_id,technological_target_official_full_name,technological_target_gene_name,technological_target_official_symbol,technological_target_gene_symbol,technological_target_description,technological_target_uniprot_accession_number,technological_target_organism_id,technological_target_track_status
125,119,2101,estrogen-related receptor alpha,estrogen-related receptor alpha,ESRRA,ESRRA,\N,P11474,1,live,119,2101,estrogen-related receptor alpha,estrogen-related receptor alpha,ESRRA,ESRRA,\N,P11474,1,live
126,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,119,2101,estrogen-related receptor alpha,estrogen-related receptor alpha,ESRRA,ESRRA,\N,P11474,1,live
127,121,2104,estrogen-related receptor gamma,estrogen-related receptor gamma,ESRRG,ESRRG,\N,P62508,1,live,121,2104,estrogen-related receptor gamma,estrogen-related receptor gamma,ESRRG,ESRRG,\N,P62508,1,live
128,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,121,2104,estrogen-related receptor gamma,estrogen-related receptor gamma,ESRRG,ESRRG,\N,P62508,1,live
129,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,466,855828,\N,Gal4p,\N,GAL4,provisional,P04386,8,live
130,157,3172,"hepatocyte nuclear factor 4, alpha","hepatocyte nuclear factor 4, alpha",HNF4A,HNF4A,\N,P41235,1,live,157,3172,"hepatocyte nuclear factor 4, alpha","hepatocyte nuclear factor 4, alpha",HNF4A,HNF4A,\N,P41235,1,live
131,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,157,3172,"hepatocyte nuclear factor 4, alpha","hepatocyte nuclear factor 4, alpha",HNF4A,HNF4A,\N,P41235,1,live
132,224,4929,"nuclear receptor subfamily 4, group A, member 2","nuclear receptor subfamily 4, group A, member 2",NR4A2,NR4A2,\N,P43354,1,live,224,4929,"nuclear receptor subfamily 4, group A, member 2","nuclear receptor subfamily 4, group A, member 2",NR4A2,NR4A2,\N,P43354,1,live
133,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,224,4929,"nuclear receptor subfamily 4, group A, member 2","nuclear receptor subfamily 4, group A, member 2",NR4A2,NR4A2,\N,P43354,1,live
134,287,6256,"retinoid X receptor, alpha","retinoid X receptor, alpha",RXRA,RXRA,\N,P19793,1,live,287,6256,"retinoid X receptor, alpha","retinoid X receptor, alpha",RXRA,RXRA,\N,P19793,1,live
135,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,287,6256,"retinoid X receptor, alpha","retinoid X receptor, alpha",RXRA,RXRA,\N,P19793,1,live
136,288,6257,"retinoid X receptor, beta","retinoid X receptor, beta",RXRB,RXRB,\N,P28702,1,live,288,6257,"retinoid X receptor, beta","retinoid X receptor, beta",RXRB,RXRB,\N,P28702,1,live
137,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,288,6257,"retinoid X receptor, beta","retinoid X receptor, beta",RXRB,RXRB,\N,P28702,1,live
138,321,7067,"thyroid hormone receptor, alpha","thyroid hormone receptor, alpha",THRA,THRA,\N,P10827,1,live,321,7067,"thyroid hormone receptor, alpha","thyroid hormone receptor, alpha",THRA,THRA,\N,P10827,1,live
139,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,321,7067,"thyroid hormone receptor, alpha","thyroid hormone receptor, alpha",THRA,THRA,\N,P10827,1,live
140,293,6401,selectin E,selectin E,SELE,SELE,\N,P16581,1,live,293,6401,selectin E,selectin E,SELE,SELE,\N,P16581,1,live
141,153,3122,"major histocompatibility complex, class II, DR alpha","major histocompatibility complex, class II, DR alpha",HLA-DRA,HLA-DRA,\N,P01903,1,live,153,3122,"major histocompatibility complex, class II, DR alpha","major histocompatibility complex, class II, DR alpha",HLA-DRA,HLA-DRA,\N,P01903,1,live
142,170,3383,intercellular adhesion molecule 1,intercellular adhesion molecule 1,ICAM1,ICAM1,\N,P05362,1,live,170,3383,intercellular adhesion molecule 1,intercellular adhesion molecule 1,ICAM1,ICAM1,\N,P05362,1,live
143,177,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,CXCL8,CXCL8,\N,P10145,1,live,177,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,CXCL8,CXCL8,\N,P10145,1,live
144,291,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,CCL2,CCL2,\N,P13500,1,live,291,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,CCL2,CCL2,\N,P13500,1,live
145,201,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,CXCL9,CXCL9,\N,Q07325,1,live,201,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,CXCL9,CXCL9,\N,Q07325,1,live
146,320,7056,thrombomodulin,thrombomodulin,THBD,THBD,\N,P07204,1,live,320,7056,thrombomodulin,thrombomodulin,THBD,THBD,\N,P07204,1,live
147,123,2152,"coagulation factor III (thromboplastin, tissue factor)","coagulation factor III (thromboplastin, tissue factor)",F3,F3,\N,P13726,1,live,123,2152,"coagulation factor III (thromboplastin, tissue factor)","coagulation factor III (thromboplastin, tissue factor)",F3,F3,\N,P13726,1,live
148,241,5329,"plasminogen activator, urokinase receptor","plasminogen activator, urokinase receptor",PLAUR,PLAUR,\N,Q03405,1,live,241,5329,"plasminogen activator, urokinase receptor","plasminogen activator, urokinase receptor",PLAUR,PLAUR,\N,Q03405,1,live
149,334,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,VCAM1,VCAM1,\N,P19320,1,live,334,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,VCAM1,VCAM1,\N,P19320,1,live
150,365,10344,chemokine (C-C motif) ligand 26,chemokine (C-C motif) ligand 26,CCL26,CCL26,\N,Q9Y258,1,live,365,10344,chemokine (C-C motif) ligand 26,chemokine (C-C motif) ligand 26,CCL26,CCL26,\N,Q9Y258,1,live
151,294,6403,"selectin P (granule membrane protein 140kDa, antigen CD62)","selectin P (granule membrane protein 140kDa, antigen CD62)",SELP,SELP,\N,P16109,1,live,294,6403,"selectin P (granule membrane protein 140kDa, antigen CD62)","selectin P (granule membrane protein 140kDa, antigen CD62)",SELP,SELP,\N,P16109,1,live
152,186,3791,kinase insert domain receptor (a type III receptor tyrosine kinase),kinase insert domain receptor (a type III receptor tyrosine kinase),KDR,KDR,\N,P35968,1,live,186,3791,kinase insert domain receptor (a type III receptor tyrosine kinase),kinase insert domain receptor (a type III receptor tyrosine kinase),KDR,KDR,\N,P35968,1,live
153,174,3552,"interleukin 1, alpha","interleukin 1, alpha",IL1A,IL1A,\N,P01583,1,live,174,3552,"interleukin 1, alpha","interleukin 1, alpha",IL1A,IL1A,\N,P01583,1,live
154,178,3627,chemokine (C-X-C motif) ligand 10,chemokine (C-X-C motif) ligand 10,CXCL10,CXCL10,\N,P02778,1,live,178,3627,chemokine (C-X-C motif) ligand 10,chemokine (C-X-C motif) ligand 10,CXCL10,CXCL10,\N,P02778,1,live
155,203,4312,matrix metallopeptidase 1 (interstitial collagenase),matrix metallopeptidase 1 (interstitial collagenase),MMP1,MMP1,\N,P03956,1,live,203,4312,matrix metallopeptidase 1 (interstitial collagenase),matrix metallopeptidase 1 (interstitial collagenase),MMP1,MMP1,\N,P03956,1,live
156,229,5054,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1","serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",SERPINE1,SERPINE1,\N,P05121,1,live,229,5054,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1","serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",SERPINE1,SERPINE1,\N,P05121,1,live
157,239,5327,"plasminogen activator, tissue","plasminogen activator, tissue",PLAT,PLAT,\N,P00750,1,live,239,5327,"plasminogen activator, tissue","plasminogen activator, tissue",PLAT,PLAT,\N,P00750,1,live
158,240,5328,"plasminogen activator, urokinase","plasminogen activator, urokinase",PLAU,PLAU,\N,P00749,1,live,240,5328,"plasminogen activator, urokinase","plasminogen activator, urokinase",PLAU,PLAU,\N,P00749,1,live
159,175,3569,interleukin 6,interleukin 6,IL6,IL6,\N,P05231,1,live,175,3569,interleukin 6,interleukin 6,IL6,IL6,\N,P05231,1,live
160,190,3949,low density lipoprotein receptor,low density lipoprotein receptor,LDLR,LDLR,\N,P01130,1,live,190,3949,low density lipoprotein receptor,low density lipoprotein receptor,LDLR,LDLR,\N,P01130,1,live
161,72,1435,colony stimulating factor 1 (macrophage),colony stimulating factor 1 (macrophage),CSF1,CSF1,\N,P09603,1,live,72,1435,colony stimulating factor 1 (macrophage),colony stimulating factor 1 (macrophage),CSF1,CSF1,\N,P09603,1,live
162,290,6288,serum amyloid A1,serum amyloid A1,SAA1,SAA1,\N,P0DJI8,1,live,290,6288,serum amyloid A1,serum amyloid A1,SAA1,SAA1,\N,P0DJI8,1,live
163,70,1281,"collagen, type III, alpha 1","collagen, type III, alpha 1",COL3A1,COL3A1,\N,P02461,1,live,70,1281,"collagen, type III, alpha 1","collagen, type III, alpha 1",COL3A1,COL3A1,\N,P02461,1,live
164,108,1956,epidermal growth factor receptor,epidermal growth factor receptor,EGFR,EGFR,\N,P00533,1,live,108,1956,epidermal growth factor receptor,epidermal growth factor receptor,EGFR,EGFR,\N,P00533,1,live
165,324,7076,TIMP metallopeptidase inhibitor 1,TIMP metallopeptidase inhibitor 1,TIMP1,TIMP1,\N,P01033,1,live,324,7076,TIMP metallopeptidase inhibitor 1,TIMP metallopeptidase inhibitor 1,TIMP1,TIMP1,\N,P01033,1,live
166,207,4318,"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)","matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",MMP9,MMP9,\N,P14780,1,live,207,4318,"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)","matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",MMP9,MMP9,\N,P14780,1,live
167,325,7077,TIMP metallopeptidase inhibitor 2,TIMP metallopeptidase inhibitor 2,TIMP2,TIMP2,\N,Q96MC4,1,live,325,7077,TIMP metallopeptidase inhibitor 2,TIMP metallopeptidase inhibitor 2,TIMP2,TIMP2,\N,Q96MC4,1,live
168,49,958,"CD40 molecule, TNF receptor superfamily member 5","CD40 molecule, TNF receptor superfamily member 5",CD40,CD40,\N,P25942,1,live,49,958,"CD40 molecule, TNF receptor superfamily member 5","CD40 molecule, TNF receptor superfamily member 5",CD40,CD40,\N,P25942,1,live
169,264,5732,"prostaglandin E receptor 2 (subtype EP2), 53kDa","prostaglandin E receptor 2 (subtype EP2), 53kDa",PTGER2,PTGER2,\N,P43116,1,live,264,5732,"prostaglandin E receptor 2 (subtype EP2), 53kDa","prostaglandin E receptor 2 (subtype EP2), 53kDa",PTGER2,PTGER2,\N,P43116,1,live
170,327,7124,tumor necrosis factor,tumor necrosis factor,TNF,TNF,\N,P01375,1,live,327,7124,tumor necrosis factor,tumor necrosis factor,TNF,TNF,\N,P01375,1,live
171,48,952,CD38 molecule,CD38 molecule,CD38,CD38,\N,P28907,1,live,48,952,CD38 molecule,CD38 molecule,CD38,CD38,\N,P28907,1,live
172,50,969,CD69 molecule,CD69 molecule,CD69,CD69,\N,Q07108,1,live,50,969,CD69 molecule,CD69 molecule,CD69,CD69,\N,Q07108,1,live
173,94,1588,"cytochrome P450, family 19, subfamily A, polypeptide 1","cytochrome P450, family 19, subfamily A, polypeptide 1",CYP19A1,CYP19A1,\N,P11511,1,live,94,1588,"cytochrome P450, family 19, subfamily A, polypeptide 1","cytochrome P450, family 19, subfamily A, polypeptide 1",CYP19A1,CYP19A1,\N,P11511,1,live
174,77,1543,"cytochrome P450, family 1, subfamily A, polypeptide 1","cytochrome P450, family 1, subfamily A, polypeptide 1",CYP1A1,CYP1A1,\N,P04798,1,live,77,1543,"cytochrome P450, family 1, subfamily A, polypeptide 1","cytochrome P450, family 1, subfamily A, polypeptide 1",CYP1A1,CYP1A1,\N,P04798,1,live
175,78,1544,"cytochrome P450, family 1, subfamily A, polypeptide 2","cytochrome P450, family 1, subfamily A, polypeptide 2",CYP1A2,CYP1A2,\N,P05177,1,live,78,1544,"cytochrome P450, family 1, subfamily A, polypeptide 2","cytochrome P450, family 1, subfamily A, polypeptide 2",CYP1A2,CYP1A2,\N,P05177,1,live
176,79,1545,"cytochrome P450, family 1, subfamily B, polypeptide 1","cytochrome P450, family 1, subfamily B, polypeptide 1",CYP1B1,CYP1B1,\N,Q16678,1,live,79,1545,"cytochrome P450, family 1, subfamily B, polypeptide 1","cytochrome P450, family 1, subfamily B, polypeptide 1",CYP1B1,CYP1B1,\N,Q16678,1,live
177,80,1548,"cytochrome P450, family 2, subfamily A, polypeptide 6","cytochrome P450, family 2, subfamily A, polypeptide 6",CYP2A6,CYP2A6,\N,P11509,1,live,80,1548,"cytochrome P450, family 2, subfamily A, polypeptide 6","cytochrome P450, family 2, subfamily A, polypeptide 6",CYP2A6,CYP2A6,\N,P11509,1,live
178,82,1555,"cytochrome P450, family 2, subfamily B, polypeptide 6","cytochrome P450, family 2, subfamily B, polypeptide 6",CYP2B6,CYP2B6,\N,P20813,1,live,82,1555,"cytochrome P450, family 2, subfamily B, polypeptide 6","cytochrome P450, family 2, subfamily B, polypeptide 6",CYP2B6,CYP2B6,\N,P20813,1,live
179,86,1562,"cytochrome P450, family 2, subfamily C, polypeptide 18","cytochrome P450, family 2, subfamily C, polypeptide 18",CYP2C18,CYP2C18,\N,P33260,1,live,86,1562,"cytochrome P450, family 2, subfamily C, polypeptide 18","cytochrome P450, family 2, subfamily C, polypeptide 18",CYP2C18,CYP2C18,\N,P33260,1,live
180,83,1557,"cytochrome P450, family 2, subfamily C, polypeptide 19","cytochrome P450, family 2, subfamily C, polypeptide 19",CYP2C19,CYP2C19,\N,P33261,1,live,83,1557,"cytochrome P450, family 2, subfamily C, polypeptide 19","cytochrome P450, family 2, subfamily C, polypeptide 19",CYP2C19,CYP2C19,\N,P33261,1,live
181,84,1558,"cytochrome P450, family 2, subfamily C, polypeptide 8","cytochrome P450, family 2, subfamily C, polypeptide 8",CYP2C8,CYP2C8,\N,P10632,1,live,84,1558,"cytochrome P450, family 2, subfamily C, polypeptide 8","cytochrome P450, family 2, subfamily C, polypeptide 8",CYP2C8,CYP2C8,\N,P10632,1,live
182,85,1559,"cytochrome P450, family 2, subfamily C, polypeptide 9","cytochrome P450, family 2, subfamily C, polypeptide 9",CYP2C9,CYP2C9,\N,P11712,1,live,85,1559,"cytochrome P450, family 2, subfamily C, polypeptide 9","cytochrome P450, family 2, subfamily C, polypeptide 9",CYP2C9,CYP2C9,\N,P11712,1,live
183,87,1565,"cytochrome P450, family 2, subfamily D, polypeptide 6","cytochrome P450, family 2, subfamily D, polypeptide 6",CYP2D6,CYP2D6,\N,P10635,1,live,87,1565,"cytochrome P450, family 2, subfamily D, polypeptide 6","cytochrome P450, family 2, subfamily D, polypeptide 6",CYP2D6,CYP2D6,\N,P10635,1,live
184,88,1571,"cytochrome P450, family 2, subfamily E, polypeptide 1","cytochrome P450, family 2, subfamily E, polypeptide 1",CYP2E1,CYP2E1,\N,P05181,1,live,88,1571,"cytochrome P450, family 2, subfamily E, polypeptide 1","cytochrome P450, family 2, subfamily E, polypeptide 1",CYP2E1,CYP2E1,\N,P05181,1,live
185,89,1573,"cytochrome P450, family 2, subfamily J, polypeptide 2","cytochrome P450, family 2, subfamily J, polypeptide 2",CYP2J2,CYP2J2,\N,P51589,1,live,89,1573,"cytochrome P450, family 2, subfamily J, polypeptide 2","cytochrome P450, family 2, subfamily J, polypeptide 2",CYP2J2,CYP2J2,\N,P51589,1,live
186,90,1576,"cytochrome P450, family 3, subfamily A, polypeptide 4","cytochrome P450, family 3, subfamily A, polypeptide 4",CYP3A4,CYP3A4,\N,P08684,1,live,90,1576,"cytochrome P450, family 3, subfamily A, polypeptide 4","cytochrome P450, family 3, subfamily A, polypeptide 4",CYP3A4,CYP3A4,\N,P08684,1,live
187,91,1577,"cytochrome P450, family 3, subfamily A, polypeptide 5","cytochrome P450, family 3, subfamily A, polypeptide 5",CYP3A5,CYP3A5,\N,P20815,1,live,91,1577,"cytochrome P450, family 3, subfamily A, polypeptide 5","cytochrome P450, family 3, subfamily A, polypeptide 5",CYP3A5,CYP3A5,\N,P20815,1,live
188,434,66002,"cytochrome P450, family 4, subfamily F, polypeptide 12","cytochrome P450, family 4, subfamily F, polypeptide 12",CYP4F12,CYP4F12,\N,Q9HCS2,1,live,434,66002,"cytochrome P450, family 4, subfamily F, polypeptide 12","cytochrome P450, family 4, subfamily F, polypeptide 12",CYP4F12,CYP4F12,\N,Q9HCS2,1,live
189,384,24296,"cytochrome P450, family 1, subfamily a, polypeptide 1","cytochrome P450, family 1, subfamily a, polypeptide 1",Cyp1a1,Cyp1a1,\N,P00185,3,live,384,24296,"cytochrome P450, family 1, subfamily a, polypeptide 1","cytochrome P450, family 1, subfamily a, polypeptide 1",Cyp1a1,Cyp1a1,\N,P00185,3,live
190,385,24297,"cytochrome P450, family 1, subfamily a, polypeptide 2","cytochrome P450, family 1, subfamily a, polypeptide 2",Cyp1a2,Cyp1a2,\N,P04799,3,live,385,24297,"cytochrome P450, family 1, subfamily a, polypeptide 2","cytochrome P450, family 1, subfamily a, polypeptide 2",Cyp1a2,Cyp1a2,\N,P04799,3,live
191,396,24894,"cytochrome P450, family 2, subfamily a, polypeptide 1","cytochrome P450, family 2, subfamily a, polypeptide 1",Cyp2a1,Cyp2a1,\N,P11711,3,live,396,24894,"cytochrome P450, family 2, subfamily a, polypeptide 1","cytochrome P450, family 2, subfamily a, polypeptide 1",Cyp2a1,Cyp2a1,\N,P11711,3,live
192,397,24895,"cytochrome P450, family 2, subfamily a, polypeptide 2","cytochrome P450, family 2, subfamily a, polypeptide 2",Cyp2a2,Cyp2a2,\N,P15149,3,live,397,24895,"cytochrome P450, family 2, subfamily a, polypeptide 2","cytochrome P450, family 2, subfamily a, polypeptide 2",Cyp2a2,Cyp2a2,\N,P15149,3,live
193,386,24300,\N,"cytochrome P450, family 2, subfamily b, polypeptide 1",\N,Cyp2b1,\N,P00176,3,live,386,24300,\N,"cytochrome P450, family 2, subfamily b, polypeptide 1",\N,Cyp2b1,\N,P00176,3,live
194,418,29277,"cytochrome P450, subfamily 2, polypeptide 11","cytochrome P450, subfamily 2, polypeptide 11",Cyp2c11,Cyp2c11,\N,P08683,3,live,418,29277,"cytochrome P450, subfamily 2, polypeptide 11","cytochrome P450, subfamily 2, polypeptide 11",Cyp2c11,Cyp2c11,\N,P08683,3,live
195,399,25011,"cytochrome P450, family 2, subfamily c, polypeptide 12","cytochrome P450, family 2, subfamily c, polypeptide 12",Cyp2c12,Cyp2c12,\N,P11510,3,live,399,25011,"cytochrome P450, family 2, subfamily c, polypeptide 12","cytochrome P450, family 2, subfamily c, polypeptide 12",Cyp2c12,Cyp2c12,\N,P11510,3,live
196,445,171521,\N,"cytochrome P450, family 2, subfamily c, polypeptide 13",\N,Cyp2c13,provisional,P20814,3,live,445,171521,\N,"cytochrome P450, family 2, subfamily c, polypeptide 13",\N,Cyp2c13,provisional,P20814,3,live
197,453,293989,"cytochrome P450, family 2, subfamily C, polypeptide 6, variant 1","cytochrome P450, family 2, subfamily C, polypeptide 6, variant 1",Cyp2c6v1,Cyp2c6v1,\N,P05178,3,live,453,293989,"cytochrome P450, family 2, subfamily C, polypeptide 6, variant 1","cytochrome P450, family 2, subfamily C, polypeptide 6, variant 1",Cyp2c6v1,Cyp2c6v1,\N,P05178,3,live
198,448,266684,"cytochrome P450, family 2, subfamily d, polypeptide 1","cytochrome P450, family 2, subfamily d, polypeptide 1",Cyp2d1,Cyp2d1,\N,P10633,3,live,448,266684,"cytochrome P450, family 2, subfamily d, polypeptide 1","cytochrome P450, family 2, subfamily d, polypeptide 1",Cyp2d1,Cyp2d1,\N,P10633,3,live
199,401,25053,"cytochrome P450, family 2, subfamily d, polypeptide 2","cytochrome P450, family 2, subfamily d, polypeptide 2",Cyp2d2,Cyp2d2,\N,P10634,3,live,401,25053,"cytochrome P450, family 2, subfamily d, polypeptide 2","cytochrome P450, family 2, subfamily d, polypeptide 2",Cyp2d2,Cyp2d2,\N,P10634,3,live
200,403,25086,"cytochrome P450, family 2, subfamily e, polypeptide 1","cytochrome P450, family 2, subfamily e, polypeptide 1",Cyp2e1,Cyp2e1,\N,P05182,3,live,403,25086,"cytochrome P450, family 2, subfamily e, polypeptide 1","cytochrome P450, family 2, subfamily e, polypeptide 1",Cyp2e1,Cyp2e1,\N,P05182,3,live
201,412,25642,"cytochrome P450, family 3, subfamily a, polypeptide 23/polypeptide 1","cytochrome P450, family 3, subfamily a, polypeptide 23/polypeptide 1",Cyp3a23/3a1,Cyp3a23/3a1,\N,P04800,3,live,412,25642,"cytochrome P450, family 3, subfamily a, polypeptide 23/polypeptide 1","cytochrome P450, family 3, subfamily a, polypeptide 23/polypeptide 1",Cyp3a23/3a1,Cyp3a23/3a1,\N,P04800,3,live
202,447,266682,"cytochrome P450, family 3, subfamily a, polypeptide 2","cytochrome P450, family 3, subfamily a, polypeptide 2",Cyp3a2,Cyp3a2,\N,P05183,3,live,447,266682,"cytochrome P450, family 3, subfamily a, polypeptide 2","cytochrome P450, family 3, subfamily a, polypeptide 2",Cyp3a2,Cyp3a2,\N,P05183,3,live
203,1,25,"ABL proto-oncogene 1, non-receptor tyrosine kinase","ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,ABL1,\N,P00519,1,live,1,25,"ABL proto-oncogene 1, non-receptor tyrosine kinase","ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,ABL1,\N,P00519,1,live
204,2,43,acetylcholinesterase (Yt blood group),acetylcholinesterase (Yt blood group),ACHE,ACHE,\N,P22303,1,live,2,43,acetylcholinesterase (Yt blood group),acetylcholinesterase (Yt blood group),ACHE,ACHE,\N,P22303,1,live
205,5,52,"acid phosphatase 1, soluble","acid phosphatase 1, soluble",ACP1,ACP1,\N,P24666,1,live,5,52,"acid phosphatase 1, soluble","acid phosphatase 1, soluble",ACP1,ACP1,\N,P24666,1,live
206,22,207,v-akt murine thymoma viral oncogene homolog 1,v-akt murine thymoma viral oncogene homolog 1,AKT1,AKT1,\N,P31749,1,live,22,207,v-akt murine thymoma viral oncogene homolog 1,v-akt murine thymoma viral oncogene homolog 1,AKT1,AKT1,\N,P31749,1,live
207,23,208,v-akt murine thymoma viral oncogene homolog 2,v-akt murine thymoma viral oncogene homolog 2,AKT2,AKT2,\N,P31751,1,live,23,208,v-akt murine thymoma viral oncogene homolog 2,v-akt murine thymoma viral oncogene homolog 2,AKT2,AKT2,\N,P31751,1,live
208,359,10000,v-akt murine thymoma viral oncogene homolog 3,v-akt murine thymoma viral oncogene homolog 3,AKT3,AKT3,\N,Q9Y243,1,live,359,10000,v-akt murine thymoma viral oncogene homolog 3,v-akt murine thymoma viral oncogene homolog 3,AKT3,AKT3,\N,Q9Y243,1,live
209,255,5562,"protein kinase, AMP-activated, alpha 1 catalytic subunit","protein kinase, AMP-activated, alpha 1 catalytic subunit",PRKAA1,PRKAA1,\N,Q13131,1,live,255,5562,"protein kinase, AMP-activated, alpha 1 catalytic subunit","protein kinase, AMP-activated, alpha 1 catalytic subunit",PRKAA1,PRKAA1,\N,Q13131,1,live
210,306,6790,aurora kinase A,aurora kinase A,AURKA,AURKA,\N,O14965,1,live,306,6790,aurora kinase A,aurora kinase A,AURKA,AURKA,\N,O14965,1,live
211,378,23621,beta-site APP-cleaving enzyme 1,beta-site APP-cleaving enzyme 1,BACE1,BACE1,\N,P56817,1,live,378,23621,beta-site APP-cleaving enzyme 1,beta-site APP-cleaving enzyme 1,BACE1,BACE1,\N,P56817,1,live
212,36,695,Bruton agammaglobulinemia tyrosine kinase,Bruton agammaglobulinemia tyrosine kinase,BTK,BTK,\N,Q06187,1,live,36,695,Bruton agammaglobulinemia tyrosine kinase,Bruton agammaglobulinemia tyrosine kinase,BTK,BTK,\N,Q06187,1,live
213,39,834,"caspase 1, apoptosis-related cysteine peptidase","caspase 1, apoptosis-related cysteine peptidase",CASP1,CASP1,\N,P29466,1,live,39,834,"caspase 1, apoptosis-related cysteine peptidase","caspase 1, apoptosis-related cysteine peptidase",CASP1,CASP1,\N,P29466,1,live
214,45,843,"caspase 10, apoptosis-related cysteine peptidase","caspase 10, apoptosis-related cysteine peptidase",CASP10,CASP10,\N,Q92851,1,live,45,843,"caspase 10, apoptosis-related cysteine peptidase","caspase 10, apoptosis-related cysteine peptidase",CASP10,CASP10,\N,Q92851,1,live
215,40,835,"caspase 2, apoptosis-related cysteine peptidase","caspase 2, apoptosis-related cysteine peptidase",CASP2,CASP2,\N,P42575,1,live,40,835,"caspase 2, apoptosis-related cysteine peptidase","caspase 2, apoptosis-related cysteine peptidase",CASP2,CASP2,\N,P42575,1,live
216,41,836,"caspase 3, apoptosis-related cysteine peptidase","caspase 3, apoptosis-related cysteine peptidase",CASP3,CASP3,\N,P42574,1,live,41,836,"caspase 3, apoptosis-related cysteine peptidase","caspase 3, apoptosis-related cysteine peptidase",CASP3,CASP3,\N,P42574,1,live
217,42,837,"caspase 4, apoptosis-related cysteine peptidase","caspase 4, apoptosis-related cysteine peptidase",CASP4,CASP4,\N,P49662,1,live,42,837,"caspase 4, apoptosis-related cysteine peptidase","caspase 4, apoptosis-related cysteine peptidase",CASP4,CASP4,\N,P49662,1,live
218,43,838,"caspase 5, apoptosis-related cysteine peptidase","caspase 5, apoptosis-related cysteine peptidase",CASP5,CASP5,\N,P51878,1,live,43,838,"caspase 5, apoptosis-related cysteine peptidase","caspase 5, apoptosis-related cysteine peptidase",CASP5,CASP5,\N,P51878,1,live
219,44,841,"caspase 8, apoptosis-related cysteine peptidase","caspase 8, apoptosis-related cysteine peptidase",CASP8,CASP8,\N,Q14790,1,live,44,841,"caspase 8, apoptosis-related cysteine peptidase","caspase 8, apoptosis-related cysteine peptidase",CASP8,CASP8,\N,Q14790,1,live
220,55,1017,cyclin-dependent kinase 2,cyclin-dependent kinase 2,CDK2,CDK2,\N,P24941,1,live,55,1017,cyclin-dependent kinase 2,cyclin-dependent kinase 2,CDK2,CDK2,\N,P24941,1,live
221,56,1021,cyclin-dependent kinase 6,cyclin-dependent kinase 6,CDK6,CDK6,\N,Q00534,1,live,56,1021,cyclin-dependent kinase 6,cyclin-dependent kinase 6,CDK6,CDK6,\N,Q00534,1,live
222,60,1111,checkpoint kinase 1,checkpoint kinase 1,CHEK1,CHEK1,\N,O14757,1,live,60,1111,checkpoint kinase 1,checkpoint kinase 1,CHEK1,CHEK1,\N,O14757,1,live
223,74,1452,"casein kinase 1, alpha 1","casein kinase 1, alpha 1",CSNK1A1,CSNK1A1,\N,P48729,1,live,74,1452,"casein kinase 1, alpha 1","casein kinase 1, alpha 1",CSNK1A1,CSNK1A1,\N,P48729,1,live
224,75,1453,"casein kinase 1, delta","casein kinase 1, delta",CSNK1D,CSNK1D,\N,P48730,1,live,75,1453,"casein kinase 1, delta","casein kinase 1, delta",CSNK1D,CSNK1D,\N,P48730,1,live
225,76,1457,"casein kinase 2, alpha 1 polypeptide","casein kinase 2, alpha 1 polypeptide",CSNK2A1,CSNK2A1,\N,Q8NEV1,1,live,76,1457,"casein kinase 2, alpha 1 polypeptide","casein kinase 2, alpha 1 polypeptide",CSNK2A1,CSNK2A1,\N,Q8NEV1,1,live
